Temp,Conversion
300,53.32311104
301,55.14725737
302,56.8437927
303,58.57027421
304,60.27284243
305,61.96742654
306,63.63412844
307,65.31158503
308,66.91105046
309,68.49254813
310,70.03025433
311,71.54948839
312,73.01701716
313,74.44427331
314,75.83328749
315,77.1819944
316,78.51949522
317,79.7705908
318,80.99944433
319,82.18381791
320,83.31136968
321,84.38130883
322,85.41094509
323,86.40027009
324,87.34567233
325,88.24633901
326,89.10254988
327,89.91482591
328,90.68385056
329,91.41043964
330,92.09552378
331,92.74013463
332,93.34539266
333,93.91249591
334,94.43242579
335,94.93775112
336,95.39068469
337,95.81868742
338,96.21610072
339,96.58349172
340,96.92225287
341,97.23387326
342,97.51984014
343,97.7816232
344,98.01034184
345,98.23714628
346,98.43610247
347,98.61081064
348,98.77667852
349,98.92118414
350,99.05389279
351,99.17208997
352,99.27376454
353,99.36977339
354,99.4532561
355,99.52594503
356,99.58990473
357,99.64831715
358,99.69943963
359,99.7424946
360,99.78045622
361,99.81350703
362,99.84218176
363,99.86651254
364,99.88779857
365,99.90605995
366,99.92137969
367,99.93571718
368,99.94692663
369,99.95595025
370,99.96383878
371,99.97045029
372,99.97597137
373,99.98056584
374,99.98437664
375,99.98752801
376,99.99048371
377,99.99264838
378,99.99439873
379,99.99583192
380,99.99656155
381,99.99743175
382,99.99837038
383,99.99887637
384,99.99926596
385,99.9998963
386,99.9998227
387,100.0002512
388,100.0004141
389,100.0004975
390,100.0005459
391,100.000575
392,100.0005931
393,100.000606
394,100.0009057
395,100.0006815
396,100.0009199
397,100.0007405
398,100.0009608
399,100.0010814
400,100.0009414
401,100.0011568
402,100.0008214
403,100.0008563
404,100.0010994
405,100.000557
406,100.000658
407,100.0006403
408,100.0008981
409,100.0006756
410,100.0008195
411,100.0008639
412,100.0006487
413,100.0005554
414,100.0006041
415,100.000277
416,100.0007575
417,100.0003492
418,100.0004239
419,100.0007332
420,100.0007245
421,100.0006567
422,100.0005844
423,100.0008206
424,100.0006392
425,100.0005864
426,100.000847
427,100.0006711
428,100.0008574
429,100.0007146
430,100.0008714
431,100.0010298
432,100.0014184
433,100.0010542
434,100.0016315
435,100.0008574
436,100.0008359
437,100.0011663
438,100.0005967
439,100.0006592
440,100.0004198
441,100.0005146
442,100.0007478
443,100.0002935
444,100.0005505
445,100.0003135
446,100.00056
447,100.0003091
448,100.0006898
449,100.0002806
450,100.0001761
451,100.0003014
452,100.0006756
453,100.0008996
454,100.0008404
455,100.0006362
456,100.0006485
457,100.0006136
458,100.0003113
459,100.0005461
460,100.0003075
461,100.0003973
462,100.0005646
463,100.0002088
464,100.0003145
465,100.0008884
466,100.0005572
467,100.0007213
468,100.0005711
469,100.0008261
470,100.0005031
471,100.0005891
472,100.0003508
473,100.0004497
474,100.0004542
475,100.0006357
476,100.0006275
477,100.0003953
478,100.0003956
479,100.0002983
480,100.0001859
481,100.0004314
482,100.0002351
483,100.0003727
484,100.0001656
485,100.0002887
486,100.000386
487,100.0008209
488,100.0005636
489,100.0005359
490,100.0006314
491,100.0004561
492,100.000404
493,100.0005317
494,100.0003092
495,100.0003271
496,100.0002794
497,100.0006188
498,100.0006929
499,100.0008529
500,100.0006426
501,100.0006988
502,100.000567
503,100.000402
504,100.0004078
505,100.000522
506,100.0004341
507,100.0004438
508,100.0004201
509,100.0003238
510,100.000382
511,100.0004212
512,100.0002246
513,100.0004715
514,100.0001751
515,100.0006301
516,100.0006075
517,100.000456
518,100.0005225
519,100.000598
520,100.0005564
521,100.0006137
522,100.0005198
523,100.0005845
524,100.0006844
525,100.0007102
526,100.0005017
527,100.0004883
528,100.0006015
529,100.0005947
530,100.0005782
531,100.0005828
532,100.0004569
533,100.0004267
534,100.0004636
535,100.000421
536,100.0003617
537,100.0003566
538,100.0004461
539,100.0004749
540,100.0002954
541,100.0004652
542,100.0004501
543,100.000287
544,100.0003087
545,100.0005192
546,100.0005165
547,100.0007826
548,100.0005018
549,100.0007232
550,100.0006075
